	stability_fraction
TCGA-3A-A9IJ	1.0
TCGA-2J-AABV	1.0
TCGA-3A-A9IN	1.0
TCGA-3A-A9IO	1.0
TCGA-3A-A9IR	1.0
TCGA-3A-A9IS	1.0
TCGA-2L-AAQM	1.0
TCGA-3A-A9IV	1.0
TCGA-2J-AABP	1.0
TCGA-3A-A9IL	1.0
TCGA-US-A776	0.8
TCGA-IB-7651	0.2
TCGA-IB-7885	0.0
TCGA-IB-7886	0.0
TCGA-IB-7887	0.0
TCGA-IB-7888	0.0
TCGA-2J-AAB1	0.0
TCGA-IB-7890	0.0
TCGA-IB-7891	0.0
TCGA-IB-7893	0.0
TCGA-IB-7897	0.0
TCGA-IB-8126	0.0
TCGA-IB-8127	0.0
TCGA-IB-A5SO	0.0
TCGA-IB-A5SP	0.0
TCGA-IB-A5SQ	0.0
TCGA-IB-A5SS	0.0
TCGA-IB-A5ST	0.0
TCGA-IB-A6UF	0.0
TCGA-IB-7889	0.0
TCGA-IB-7652	0.0
TCGA-IB-7654	0.0
TCGA-HZ-A77O	0.0
TCGA-HZ-8519	0.0
TCGA-HZ-8636	0.0
TCGA-HZ-8637	0.0
TCGA-HZ-8638	0.0
TCGA-HZ-A49G	0.0
TCGA-HZ-A49H	0.0
TCGA-HZ-A49I	0.0
TCGA-HZ-A4BH	0.0
TCGA-HZ-A4BK	0.0
TCGA-HZ-A77P	0.0
TCGA-IB-A7LX	0.0
TCGA-HZ-A77Q	0.0
TCGA-HZ-A8P0	0.0
TCGA-HZ-A8P1	0.0
TCGA-HZ-A9TJ	0.0
TCGA-IB-7644	0.0
TCGA-IB-7645	0.0
TCGA-IB-7646	0.0
TCGA-IB-7647	0.0
TCGA-IB-7649	0.0
TCGA-IB-A6UG	0.0
TCGA-IB-AAUQ	0.0
TCGA-IB-A7M4	0.0
TCGA-US-A77J	0.0
TCGA-RL-AAAS	0.0
TCGA-S4-A8RM	0.0
TCGA-S4-A8RO	0.0
TCGA-S4-A8RP	0.0
TCGA-US-A774	0.0
TCGA-US-A779	0.0
TCGA-US-A77E	0.0
TCGA-US-A77G	0.0
TCGA-XD-AAUG	0.0
TCGA-IB-AAUM	0.0
TCGA-XD-AAUH	0.0
TCGA-XD-AAUI	0.0
TCGA-XD-AAUL	0.0
TCGA-XN-A8T3	0.0
TCGA-XN-A8T5	0.0
TCGA-YB-A89D	0.0
TCGA-YH-A8SY	0.0
TCGA-YY-A8LH	0.0
TCGA-RB-AA9M	0.0
TCGA-RB-A7B8	0.0
TCGA-Q3-AA2A	0.0
TCGA-Q3-A5QY	0.0
TCGA-IB-AAUN	0.0
TCGA-IB-AAUO	0.0
TCGA-IB-AAUP	0.0
TCGA-HZ-8315	0.0
TCGA-IB-AAUR	0.0
TCGA-IB-AAUS	0.0
TCGA-IB-AAUT	0.0
TCGA-IB-AAUU	0.0
TCGA-IB-AAUV	0.0
TCGA-IB-AAUW	0.0
TCGA-L1-A7W4	0.0
TCGA-LB-A7SX	0.0
TCGA-LB-A8F3	0.0
TCGA-LB-A9Q5	0.0
TCGA-M8-A5N4	0.0
TCGA-OE-A75W	0.0
TCGA-PZ-A5RE	0.0
TCGA-HZ-8317	0.0
TCGA-HZ-7925	0.0
TCGA-HZ-8005	0.0
TCGA-F2-6879	0.0
TCGA-3A-A9IC	0.0
TCGA-3A-A9IH	0.0
TCGA-3A-A9IU	0.0
TCGA-3A-A9IX	0.0
TCGA-3A-A9IZ	0.0
TCGA-3A-A9J0	0.0
TCGA-3E-AAAY	0.0
TCGA-3E-AAAZ	0.0
TCGA-F2-6880	0.0
TCGA-3A-A9I9	0.0
TCGA-F2-7273	0.0
TCGA-F2-7276	0.0
TCGA-F2-A44G	0.0
TCGA-F2-A44H	0.0
TCGA-F2-A7TX	0.0
TCGA-F2-A8YN	0.0
TCGA-FB-A4P5	0.0
TCGA-FB-A4P6	0.0
TCGA-3A-A9IB	0.0
TCGA-3A-A9I7	0.0
TCGA-FB-A5VM	0.0
TCGA-2J-AABK	0.0
TCGA-2J-AAB6	0.0
TCGA-2J-AAB8	0.0
TCGA-2J-AAB9	0.0
TCGA-2J-AABA	0.0
