feature	max_effect_norm	n_modalities	n_clusters	modalities	clusters	combined_score	n_drugs	n_approved_drugs	top_drugs	interaction_types	is_actionable	oncokb_oncogene	oncokb_tsg	oncokb_in_db	oncokb_highest_level	drug_evidence_score
KRAS	0.9999999832369795	1	4	snv	0|1|2|3	0.9999999932947918	119	62	GEMCITABINE|VEDROPREVIR|COBIMETINIB|BEVACIZUMAB|RAS PEPTIDE CANCER VACCINE	modulator|vaccine|inhibitor|unknown	True	True	False	True	KNOWN_ONCOGENE	0.9999999966473958
TP53	0.7800062514181991	1	4	snv	0|1|2|3	0.9120025005672796	454	154	PIRARUBICIN|OXALIPLATIN|SIREMADLIN|CARBOPLATIN|DAUNORUBICIN HYDROCHLORIDE	activator|vaccine|inhibitor|unknown	True	False	True	True	KNOWN_TSG	0.9560012502836397
ATM	0.9999999938681382	1	2	protein	0|1	0.8999999975472553	87	41	ETOPOSIDE|CP466722|VELIPARIB|CISPLATIN|OLAPARIB	inhibitor|unknown	True	False	True	True	KNOWN_TSG	0.9499999987736276
PDGFRB	0.7358654266863215	1	3	protein	0|1|2	0.8443461706745287	113	27	TELATINIB|RIPRETINIB|DOVITINIB|DASATINIB ANHYDROUS|LINIFANIB	agonist|inhibitor|unknown	True	False	False	False		0.9221730853372643
GAPDH	0.9457208621588556	1	2	protein	0|3	0.8782883448635422	20	4	ANESTHETIC AGENT|CHEMBL:CHEMBL505670|PURPUROGALLIN|THIRAM|SODIUM BUTYRATE	unknown	False	False	False	False		0.7391441724317711
PRNCR1	0.9999999972051091	1	2	cnv	2|3	0.8999999988820436	0	0			False	False	False	False		0.4499999994410218
PCAT1	0.9983668315327762	1	2	cnv	2|3	0.8993467326131105	0	0			False	False	False	False		0.44967336630655524
CASC19	0.9841582901834778	1	2	cnv	2|3	0.8936633160733911	0	0			False	False	False	False		0.44683165803669556
cg04917275	0.8758258904673726	1	2	methylation	0|3	0.8503303561869491	0	0			False	False	False	False		0.42516517809347454
cg02159654	0.9999999724960937	1	1	methylation	0	0.8499999889984375	0	0			False	False	False	False		0.42499999449921877
cg19123882	0.8547276863055173	1	2	methylation	0|2	0.8418910745222069	0	0			False	False	False	False		0.42094553726110345
cg27206295	0.8227184475823924	1	2	methylation	0|3	0.829087379032957	0	0			False	False	False	False		0.4145436895164785
cg18482656	0.9424401212698472	1	1	methylation	0	0.8269760485079389	0	0			False	False	False	False		0.41348802425396947
cg05655647	0.9221283593991358	1	1	methylation	3	0.8188513437596544	0	0			False	False	False	False		0.4094256718798272
cg15225701	0.9137728583555655	1	1	methylation	0	0.8155091433422264	0	0			False	False	False	False		0.4077545716711132
cg04158046	0.8977653089996426	1	1	methylation	0	0.8091061235998571	0	0			False	False	False	False		0.40455306179992856
cg02383666	0.8966849203468511	1	1	methylation	2	0.8086739681387405	0	0			False	False	False	False		0.40433698406937024
cg06126019	0.874720331559401	1	1	methylation	0	0.7998881326237605	0	0			False	False	False	False		0.39994406631188023
cg25267808	0.8618432168841971	1	1	methylation	0	0.7947372867536789	0	0			False	False	False	False		0.39736864337683947
cg23903723	0.8428353912095498	1	1	methylation	0	0.78713415648382	0	0			False	False	False	False		0.39356707824191
cg03256090	0.8378091017870825	1	1	methylation	0	0.7851236407148331	0	0			False	False	False	False		0.39256182035741655
cg15336243	0.8352457382208072	1	1	methylation	0	0.784098295288323	0	0			False	False	False	False		0.3920491476441615
cg19049964	0.7050202552174604	1	2	methylation	1|2	0.7820081020869841	0	0			False	False	False	False		0.39100405104349206
cg12295277	0.8119376319474402	1	1	methylation	0	0.7747750527789762	0	0			False	False	False	False		0.3873875263894881
cg19903071	0.8082923946373491	1	1	methylation	0	0.7733169578549397	0	0			False	False	False	False		0.38665847892746985
cg04297105	0.7726107250320932	1	1	methylation	0	0.7590442900128374	0	0			False	False	False	False		0.3795221450064187
cg02952701	0.772277705164775	1	1	methylation	0	0.7589110820659101	0	0			False	False	False	False		0.37945554103295503
cg02503763	0.642603946961618	1	2	methylation	1|3	0.7570415787846473	0	0			False	False	False	False		0.37852078939232364
cg06958563	0.7660925961292849	1	1	methylation	1	0.7564370384517141	0	0			False	False	False	False		0.37821851922585703
